Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-07-11;60,32;60,32;60,01;60,01;155;9.328
2018-07-10;60,25;60,75;60,25;60,44;746;45.116
2018-07-09;60,00;60,07;59,67;59,91;2.013;120.315
2018-07-06;59,69;59,69;59,69;59,69;78;4.656
2018-07-05;59,19;59,19;58,75;58,75;1.168;68.887
2018-07-04;59,48;59,69;59,27;59,27;1.700;101.268
2018-07-03;59,61;59,72;59,45;59,59;2.459;146.497
2018-07-02;59,79;59,79;59,38;59,51;432;25.745
2018-06-29;60,22;60,37;60,13;60,13;964;58.109
2018-06-28;59,88;59,88;59,31;59,60;189;11.280
2018-06-27;59,85;59,90;59,77;59,90;603;36.063
2018-06-26;60,07;60,30;60,04;60,04;1.235;74.310
2018-06-25;59,45;60,51;59,26;59,86;4.457;267.186
2018-06-22;60,04;60,26;59,92;60,15;1.102;66.194
2018-06-21;62,50;62,50;60,50;60,50;933;57.379
2018-06-20;62,11;62,25;61,83;62,22;844;52.484
2018-06-19;61,90;61,90;61,65;61,65;222;13.720
2018-06-18;62,32;62,50;61,93;62,02;661;41.145
2018-06-15;62,76;63,00;62,51;62,51;588;36.944
2018-06-14;61,05;63,16;60,90;62,90;3.426;211.406
2018-06-13;61,83;61,83;61,51;61,76;463;28.511
2018-06-12;61,53;61,80;61,25;61,80;1.148;70.417
2018-06-11;61,89;61,89;61,21;61,23;1.486;91.060
2018-06-08;61,49;61,72;61,30;61,70;2.409;147.962
2018-06-07;61,85;62,23;61,42;61,42;1.896;117.011
2018-06-06;62,36;62,36;61,75;61,97;1.486;92.136
2018-06-05;62,26;62,59;62,26;62,48;584;36.517
2018-06-04;63,01;63,43;62,64;62,64;941;59.310
2018-06-01;63,00;63,37;62,92;62,92;2.317;146.499
2018-05-31;63,13;63,45;62,89;63,05;1.018;64.350
2018-05-30;63,01;63,01;62,71;62,71;40;2.514
2018-05-29;63,19;63,19;62,53;63,00;4.736;297.773
2018-05-28;62,40;63,20;61,40;61,40;2.143;133.957
2018-05-25;62,99;63,41;62,62;63,41;2.515;158.322
2018-05-24;63,02;63,02;62,68;62,68;641;40.298
2018-05-23;62,91;63,38;62,47;62,60;1.937;122.213
2018-05-22;62,71;63,03;62,51;62,97;3.341;209.556
2018-05-21;61,50;62,50;61,50;62,50;1.776;110.176
2018-05-18;61,41;61,53;59,72;61,53;5.462;329.205
2018-05-17;61,83;62,00;61,41;61,99;2.231;138.004
2018-05-16;61,01;61,83;60,96;61,83;1.178;72.397
2018-05-15;60,88;60,95;60,63;60,88;3.654;221.971
2018-05-14;60,87;60,91;60,48;60,62;2.402;145.834
2018-05-11;59,78;60,60;59,76;60,51;2.625;158.622
2018-05-10;61,00;61,13;60,17;60,17;2.199;133.446
2018-05-09;59,95;60,64;59,76;60,64;3.744;224.762
2018-05-08;59,99;60,30;59,95;60,30;4.528;271.781
2018-05-07;59,31;59,93;59,15;59,93;2.131;126.678
2018-05-04;59,79;59,97;59,14;59,44;1.686;100.552
2018-05-03;59,72;59,80;59,13;59,49;3.022;180.226
2018-05-02;59,06;60,14;59,06;59,63;13.869;830.251
2018-04-30;58,70;59,05;58,58;58,93;1.032;60.666
2018-04-27;58,57;58,73;58,36;58,70;581;33.985
2018-04-26;57,95;58,27;57,95;58,27;346;20.122
2018-04-24;57,79;57,87;55,01;57,87;803;45.925
2018-04-23;57,73;58,00;57,73;57,97;1.106;63.927
2018-04-20;56,72;57,64;56,72;57,33;487;27.908
2018-04-19;57,65;58,38;56,81;56,81;1.856;106.952
2018-04-18;58,02;58,02;57,56;57,69;790;45.751
2018-04-17;57,67;58,03;57,67;58,03;875;50.557
2018-04-16;58,90;58,90;57,41;57,56;426;24.704
2018-04-13;59,01;59,01;58,88;58,90;1.490;87.794
2018-04-12;58,73;59,00;58,71;58,89;971;57.113
2018-04-11;59,24;59,24;58,50;58,50;1.957;115.334
2018-04-10;58,85;59,10;58,31;59,10;145;8.531
2018-04-09;57,73;58,15;57,73;58,10;1.398;81.196
2018-04-06;57,88;57,94;57,75;57,90;1.608;93.010
2018-04-05;57,01;58,05;56,99;58,05;1.361;78.396
2018-04-04;57,29;57,29;56,39;56,71;2.058;117.448
2018-04-03;56,79;57,40;56,08;57,36;4.844;277.245
2018-03-29;56,29;56,86;56,29;56,71;1.651;93.624
2018-03-28;56,63;57,21;56,56;56,60;2.757;156.387
2018-03-27;56,06;56,35;55,93;56,20;1.053;59.107
2018-03-26;56,13;56,22;55,17;55,21;744;41.539
2018-03-23;55,49;55,56;55,09;55,56;922;51.051
2018-03-22;55,65;56,05;55,65;55,73;1.489;83.273
2018-03-21;56,76;56,76;55,85;55,85;305;17.183
2018-03-20;55,99;56,63;55,94;56,56;1.675;94.115
2018-03-19;56,49;56,50;56,11;56,22;992;55.884
2018-03-16;54,87;56,02;54,87;55,80;2.202;122.231
2018-03-15;54,78;55,18;54,77;55,04;1.340;73.566
2018-03-14;54,60;54,71;54,47;54,50;1.362;74.419
2018-03-13;54,85;54,94;54,70;54,81;1.426;78.089
2018-03-12;54,90;55,15;54,54;54,64;1.537;84.412
2018-03-09;54,78;55,04;54,67;54,79;2.612;143.603
2018-03-08;54,51;54,83;54,35;54,79;1.170;63.885
2018-03-07;53,99;54,04;53,81;53,83;1.618;87.280
2018-03-06;54,79;55,10;54,74;54,84;1.045;57.323
2018-03-05;53,58;54,00;53,58;53,63;1.792;96.338
2018-03-02;53,35;53,93;53,35;53,82;3.794;203.735
2018-03-01;54,42;54,66;53,79;53,79;940;51.131
2018-02-28;55,44;55,57;54,73;54,73;1.534;84.883
2018-02-27;55,16;55,42;55,07;55,42;1.742;96.175
2018-02-26;55,22;55,41;55,10;55,41;780;43.104
2018-02-23;54,32;54,63;54,32;54,63;22;1.196
2018-02-22;54,95;55,07;54,59;54,59;1.234;67.661
2018-02-21;54,60;55,96;54,03;55,96;385;21.079
2018-02-20;53,84;54,33;53,76;54,33;360;19.472
2018-02-19;54,65;54,86;53,77;53,87;2.347;127.694
2018-02-16;54,07;54,53;54,00;54,53;2.174;117.710
2018-02-15;53,83;54,15;53,75;53,95;3.937;212.533
2018-02-14;55,00;55,97;54,56;55,97;820;44.927
2018-02-13;55,10;55,38;55,04;55,34;623;34.401
2018-02-12;54,60;55,65;54,60;55,64;2.549;140.462
2018-02-09;55,50;55,50;53,60;53,60;841;46.096
2018-02-08;55,40;56,46;55,40;55,74;3.485;195.148
2018-02-07;55,31;55,61;54,42;55,44;1.402;76.773
2018-02-06;52,50;54,96;51,70;54,42;4.994;267.707
2018-02-05;57,15;57,47;54,19;54,55;7.189;407.831
2018-02-02;56,57;57,79;55,14;57,35;4.048;227.165
2018-02-01;56,72;57,04;56,23;56,44;2.193;124.541
2018-01-31;57,45;57,58;56,55;56,59;4.600;262.879
